utc	jobid	name	config	gpus	nodes	gpus_per_node	queue	wall	mem	mbs	ga	seq	steps	tokens_per_step	total_tokens	git_commit	config_sha256	cmdline
2026-09-19T00:30:09Z	1775376	cmix_134M_hyb_w1w2_surr_32B	configs/cmix/cmix_134M_hyb_w1w2_surr_32B.yml	8	2	4	normal	24:00	200G	4	2	4096	122070	262144	31999918080	fd52703a	7651a6f45f66f8a6	submit_train.sh cmix_134M_hyb_w1w2_surr_32B configs/cmix/cmix_134M_hyb_w1w2_surr_32B.yml 8 normal 24:00 200G 
2026-09-19T00:30:46Z	1775379	cmix_134M_hyb_w1w2_surr_32B	configs/cmix/cmix_134M_hyb_w1w2_surr_32B.yml	4	1	4	normal	24:00	200G	4	4	4096	122070	262144	31999918080	fd52703a	3f00de1e7bff6c2a	submit_train.sh cmix_134M_hyb_w1w2_surr_32B configs/cmix/cmix_134M_hyb_w1w2_surr_32B.yml 4 normal 24:00 200G 
2026-09-19T00:45:00Z	1775567	abl_B_134M_6G1x6S	configs/iclr_26/ablations/abl_B_134M_6G1x6S.yml	4	1	4	normal	24:00	200G	4	2	4096	122070	131072	15999959040	fd52703a	780d3fee2660345b	submit_train.sh abl_B_134M_6G1x6S configs/iclr_26/ablations/abl_B_134M_6G1x6S.yml 4 normal 24:00 200G 
2026-09-19T00:45:54Z	1775598	abl_B_134M_6G1x6S	configs/iclr_26/ablations/abl_B_134M_6G1x6S.yml	4	1	4	normal	24:00	200G	4	4	4096	122070	262144	31999918080	fd52703a	108a60e8690aa9fd	submit_train.sh abl_B_134M_6G1x6S configs/iclr_26/ablations/abl_B_134M_6G1x6S.yml 4 normal 24:00 200G 
2026-09-19T01:12:44Z	1775841	abl_B_400M_6G1x6S	configs/iclr_26/ablations/abl_B_400M_6G1x6S.yml	8	2	4	normal	24:00	200G	2	8	4096	61035	524288	31999918080	fd52703a	34387b92570cfbfd	submit_train.sh abl_B_400M_6G1x6S configs/iclr_26/ablations/abl_B_400M_6G1x6S.yml 8 normal 24:00 200G 
2026-09-19T03:44:49Z	1778230	abl_B_134M_6G1x6S	configs/iclr_26/ablations/abl_B_134M_6G1x6S.yml	4	1	4	normal	24:00	200G	4	4	4096	122070	262144	31999918080	fd52703a	108a60e8690aa9fd	submit_train.sh abl_B_134M_6G1x6S configs/iclr_26/ablations/abl_B_134M_6G1x6S.yml 4 normal 24:00 200G 
2026-09-19T03:54:02Z	1778367	cmix_134M_hyb_w1w2_surr_32B	configs/cmix/cmix_134M_hyb_w1w2_surr_32B.yml	4	1	4	normal	24:00	200G	4	4	4096	122070	262144	31999918080	fd52703a	e495ce1f8899a550	submit_train.sh cmix_134M_hyb_w1w2_surr_32B configs/cmix/cmix_134M_hyb_w1w2_surr_32B.yml 4 normal 24:00 200G 
2026-09-19T04:38:31Z	1779980	cmix_134M_hyb_w1w2_surrMLP_32B	configs/cmix/cmix_134M_hyb_w1w2_surrMLP_32B.yml	4	1	4	normal	24:00	200G	4	4	4096	122070	262144	31999918080	fd52703a	90b7063f237c1392	submit_train.sh cmix_134M_hyb_w1w2_surrMLP_32B configs/cmix/cmix_134M_hyb_w1w2_surrMLP_32B.yml 4 normal 24:00 200G 
2026-09-19T06:20:55Z	1780801	cmix_134M_hyb_w1w2_sparse_surr_32B	configs/cmix/cmix_134M_hyb_w1w2_sparse_surr_32B.yml	4	1	4	normal	24:00	200G	4	4	4096	122070	262144	31999918080	3efc4dab	11237347d607ccdb	submit_train.sh cmix_134M_hyb_w1w2_sparse_surr_32B configs/cmix/cmix_134M_hyb_w1w2_sparse_surr_32B.yml 4 normal 24:00 200G 
2026-09-19T21:40:02Z	1792444	cmix_400M_hybrid_sparse	configs/cmix/cmix_400M_hybrid_sparse.yml	8	2	4	preemptable	24:00	200G	2	8	4096	61035	524288	31999918080	3efc4dab	5123b188af86b44f	submit_train.sh cmix_400M_hybrid_sparse configs/cmix/cmix_400M_hybrid_sparse.yml 8 preemptable 24:00 200G 
